,Unnamed: 0,full_text,tweet_english
0,0,duga korupsi timah babel rugi negara 300 t tengah tangan jaksa agung seret nama nama besar beking balik tambang timah haram rbt bg atau bhd jadi aktor,suspected corruption of tin babel state loss 300 t middle of the attorney general's hand drag the big name behind the illegal tin mine rbt bg or bhd become an actor
1,1,korupsi timah alir jauh halo apa kabar,far-flowing tin corruption hello how are you
2,2,nebak bunuh ekky vina aja sulit tengah mati nebak libat korupsi tambang timah jenderal bintang 4 polri adaada aja tanya,nebak kill ekky vina it's hard to die nebak involved corruption tin mining general 4 star polri adaada aja tanya
3,3,apakabar korupsi timah amp putus ma,apakabar corruption tin & break up ma
4,4,kasus pt timah sekarang kasus baru kena pt antam laku korupsi palsu batang 109 ton emas jadi palsu sekarang pihak wajib jerat 6 tersangksa baca lengkap,tin pt case now new case hit pt anti-corruption behavior fake rod 109 tons of gold so fake now the party is obliged to snare 6 suspended read the full
5,5,gpp mas ga ganteng penting ga korupsi timah,gpp mas not handsome important not tin corruption
6,6,alih isu masalah ukt tapera ikn gagal kcic gagal bayar korupsi timah mk milh kakak ma milih adik banyak masalah jadi nglindur melulu masalah teroris,instead of the issue of ukt tapera ikn failed kcic failed to pay tin corruption mk milh sister ma chose sister many problems so nglindur just a terrorist problem
7,7,kasus korupsi timah 271 t hilang saja misteri siapa jenderal b,tin corruption case 271 t just disappeared the mystery of who the general b
8,8,negara benar kaya liat aja noh korupsi timah kena berapa triliyun coba dibuatin rumah buat rakyat duit udah jadi berapa unit coba,"the country is really rich just look at how much tin corruption has to be done, how many trillions are trying to make a house for the people, the money has become how many units to try"
9,9,kartika dewi adik sandra dewi ikut seret kasus korupsi timah,kartika dewi adik sandra dewi participated in the lead corruption case
10,10,dapet tambang tapera korupsi timah ppn naik kicep,dapet mine tapera corruption tin ppn naik kicep
11,11,100 1 yaqin jen purn t ikut massip dlm korupsi tambang timah,100 1 yaqin jen retiring t participate massip in tin mining corruption
12,12,daftar 22 sangka duga korupsi timah rugi negara hingga rp300 triliun,list of 22 alleged corruption of state tin losses of up to Rp300 trillion
13,13,jangan2 bagi2 iup tambang ormas agama utk bungkam tdk iku2 an ribut korupsi timah emas nilai nya fantastis qiqi,lest iup iup mine religious mass organizations to be silent tdk iku an gold tin corruption storm the value is fantastic qiqi
14,14,tdk bisa cari dana talang pos2 laincoba hitung duit uap korupsi ituseandainya dimaksimalkandari satu kasus misal korupsi timah300 t nikmat beberapa keluarga sajanah andai tarik aset alih tapera,"unable to find other postal gutter funds, try to calculate the corruption steam money, if it is maximized from one case, for example, tin corruption, 300 t favors some families only if they withdraw assets over tapera"
15,15,kpk usut korupsi taspen telkom group amp hutama karya ratus m jagung usut korupsi pt timah 300 t bpk nemu korupsi indofarma amp linkdata bri ratus m semua bumn ga pernah surplus hingga ga receh bisa bagi rakyat aneh,kpk usut graft taspen telkom group & hutama Karya hundred m corn usut graft pt tin 300 t bpk nemu graft indofarma & linkdata bri hundred m all bumn ga ever surplus to ga pennies can for strange people
16,16,45jt per orang aja ga kasih btw ga 02 300t korupsi timah,45m per person just don't give a shit btw ga 02 300t tin corruption
17,17,gak timah gak emas nyata koruptor ri tuh canggih salut sama jaksa berani bongkar kasus2 korupsi nila ratus triiun gak perlu taperataperaan deh kalo korupsi gak indonesia kaya banget,no tin no real gold corrupt ri tuh sophisticated salute with prosecutors dare to dismantle corruption cases tila hundred triiun do not need taperataperaan deh if corruption is not very rich Indonesia
18,18,sekalipun beli club real madrid guna uang korupsi baik korupsi timah emas kayak ada kembali deh,even buy club real madrid for money corruption good corruption tin gold like there is a return
19,19,korupsi timah pasuk babak baru usut korupsi tambang timah ilegal provinsi bangka belitung jaksa agung jadi sidi besar sejarah tega hukum indonesia,"tin corruption pasuk a new round of corruption in illegal tin mining in Bangka Belitung province, the attorney general has become a great sidi of the history of tega Indonesian law"
20,20,gilir pil pahit ngajak2 rakyat tp gilir korupsi bts bansos sapi timah makan sendiri,the bitter pill queue invites the people but the corruption queue bts bansos tin cows feed themselves
21,21,sampai detik diam ribu bahasa kait masalah kasus korupsi pt timah warganet jangan kecoh citra belaka erick thohir bagai media miris,up to a thousand seconds of silence language hooks the problem of corruption cases pt tin netizens do not fuss over the mere image of erick thohir like a miraculous media
22,22,aktor perintah pusat korupsi timah rp300 triliun bocor icw kongkalingkong swasta oknum perintah,actor command tin corruption center rp300 trillion leak icw kongkalingkong private command person
23,23,kata jampidsus soal sosok jenderal b kasus korupsi timah,jampidsus said about the figure of general b in the case of tin corruption
24,24,kait kasus korupsi timah jagung periksa mantan gubernur babel,hook tin corn corruption case check former governor of babel
25,25,yah elu tau gak siapa beking korupsi tambang timah 271 trilyun ngiahahhahahajaajjaajaaja,well you know who doesn't support the corruption of tin mines 271 trillion ngiahahhahajaajajaaja
